shop,product,category,quantity,price,benefits,time_of_sale
Wien_1st_district,Microwave,Electronics,16,64.33,63.58,2025-05-13T20:14:14.313913+00:00
Graz,Television,Electronics,7,81.32,18.69,2025-05-13T20:13:47.401067+00:00
Linz,Laptop,Electronics,7,81.04,29.66,2025-05-13T20:13:26.891923+00:00
Wien_1st_district,Tablet,Electronics,20,54.33,5.53,2025-05-13T20:14:17.706363+00:00
Graz,Refrigerator,Electronics,1,20.47,9.69,2025-05-13T20:13:21.480202+00:00
Wien_1st_district,Washing Machine,Electronics,7,68.53,56.08,2025-05-13T20:13:49.148705+00:00
Wien_1st_district,Phone,Electronics,4,39.47,0.26,2025-05-13T20:14:06.317928+00:00
Graz,Bed,Furniture,2,19.65,10.31,2025-05-13T20:13:41.359692+00:00
Salzburg,Shelf,Furniture,16,5.04,3.89,2025-05-13T20:13:53.105344+00:00
Wien_1st_district,Dresser,Furniture,3,28.12,7.03,2025-05-13T20:13:36.921519+00:00
Salzburg,Chair,Furniture,6,34.76,9.77,2025-05-13T20:13:28.247213+00:00
Wien_1st_district,Dining Table,Furniture,13,17.04,8.84,2025-05-13T20:14:00.830721+00:00
Graz,Couch,Furniture,12,77.56,67.82,2025-05-13T20:13:26.753946+00:00
Graz,Table,Furniture,8,9.26,7.02,2025-05-13T20:14:11.473340+00:00
Graz,Bookcase,Furniture,9,95.31,0.61,2025-05-13T20:14:00.080786+00:00
Graz,Desk,Furniture,14,16.06,3.53,2025-05-13T20:14:02.762906+00:00
Wien_1st_district,Ottoman,Furniture,7,84.08,35.34,2025-05-13T20:13:32.744560+00:00
Salzburg,Coffee Table,Furniture,12,48.41,46.32,2025-05-13T20:13:29.390071+00:00
Linz,Cabinet,Furniture,11,61.19,45.72,2025-05-13T20:13:54.206577+00:00
Linz,Wardrobe,Furniture,20,74.47,28.67,2025-05-13T20:13:53.494536+00:00
Graz,Book,Books,6,9.88,8.9,2025-05-13T20:14:02.478998+00:00
Linz,Magazine,Books,6,30.24,19.21,2025-05-13T20:13:19.885153+00:00
Wien_1st_district,Journal,Books,8,35.75,26.5,2025-05-13T20:13:33.748130+00:00
Linz,Paper Clips,Office,6,23.91,19.08,2025-05-13T20:14:08.053605+00:00
Graz,File Cabinet,Office,14,18.73,7.99,2025-05-13T20:13:32.926503+00:00
Linz,Bulletin Board,Office,15,29.61,6.96,2025-05-13T20:13:59.403482+00:00
Wien_1st_district,Scanner,Office,18,72.33,8.82,2025-05-13T20:14:02.508800+00:00
Graz,Tape Dispenser,Office,4,85.13,67.35,2025-05-13T20:13:46.561143+00:00
Linz,Paper Cutter,Office,16,10.69,3.5,2025-05-13T20:13:31.470283+00:00
Graz,Printer,Office,8,36.43,23.75,2025-05-13T20:13:47.083339+00:00
Graz,Glue,Office,20,45.56,45.42,2025-05-13T20:14:09.624017+00:00
Wien_1st_district,Monitor,Accessories,14,40.66,2.09,2025-05-13T20:13:38.064868+00:00
